Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,ModelConfig
XGB_linear03,test_selective,0.5,0.5286343612334802,0.5224896029267114,0.2945054945054945,0.4702957461502114,0.5537190082644629,0.2005988023952095,0.5232142857142857,0.8443804034582133,0.5680339608966505,0.0588251516517554,0.8013237937990123,0.2906053319939827,67,54,293,267,0.1776798825256975,0.4904552129221732,0.8107142857142857,681,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.06,XGB_linear03
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5283505154639175,0.5239721476599251,0.3345454545454545,0.4846379967338051,0.5476190476190477,0.2408376963350785,0.5230263157894737,0.8071065989847716,0.5520437451829803,0.0581983003724015,0.8105542640772629,0.2924563624448224,92,76,318,290,0.2164948453608247,0.4922680412371134,0.923809523809524,776,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.02,ENS_XGB_LGBM_STEP
XGB_step50_3,test_selective,0.5,0.5273224043715847,0.5241600716738839,0.3294573643410852,0.4822392306937494,0.551948051948052,0.2348066298342541,0.5207612456747405,0.8135135135135135,0.548671046737345,0.0592732965495325,0.8270959808013244,0.2978654742626347,85,69,301,277,0.2103825136612022,0.494535519125683,0.8714285714285714,732,weight_decay,XGB,step_50pct_3x,all,27.0,selective_fixed_0.5,0.04,XGB_step50_3
ENS_TOP3_VAL,test_selective,0.5,0.5272727272727272,0.5268179897657387,0.2987551867219917,0.471107551166903,0.576,0.2016806722689075,0.5169491525423728,0.8519553072625698,0.5500524232039185,0.0706074984915262,0.7817529826628001,0.2849940915514168,72,53,305,285,0.1748251748251748,0.4993006993006993,0.8511904761904762,715,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.04,ENS_TOP3_VAL
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5272161741835147,0.5182447477974634,0.2692307692307692,0.4599027409372237,0.5436893203883495,0.1789137380191693,0.524074074074074,0.8575757575757575,0.5556297802304192,0.0497257688098826,0.8363277141197234,0.3019751266624893,56,47,283,257,0.1601866251944012,0.4867807153965785,0.7654761904761904,643,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.08,ENS_XGB_LGBM_STEP
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5270541082164328,0.5094866430640489,0.1571428571428571,0.4142260246717071,0.5365853658536586,0.0920502092050209,0.5262008733624454,0.926923076923077,0.5673318313485677,0.034514653142605,0.8733982729343063,0.3149381482014647,22,19,241,217,0.0821643286573146,0.4789579158316633,0.594047619047619,499,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.15,ENS_XGB_LGBM_STEP
XGB_linear03,test_selective,0.5,0.5266666666666666,0.5235262323179881,0.3238095238095238,0.4798534798534798,0.551948051948052,0.22911051212938,0.5201342281879194,0.8179419525065963,0.5646864709940331,0.0582378651478429,0.79176296746889,0.2870640156273954,85,69,310,286,0.2053333333333333,0.4946666666666666,0.8928571428571429,750,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.04,XGB_linear03
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5266666666666666,0.5122863247863247,0.2365591397849462,0.4467819853514103,0.5238095238095238,0.1527777777777778,0.5271317829457365,0.8717948717948718,0.551170762108262,0.0353802611588701,0.8464677482469123,0.3056414946753458,44,40,272,244,0.14,0.48,0.7142857142857143,600,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.1,ENS_XGB_LGBM_STEP
ENS_TOP3_VAL,test_selective,0.5,0.5266272189349113,0.5123227917121047,0.1489361702127659,0.4105336588768747,0.5675675675675675,0.0857142857142857,0.5234042553191489,0.9389312977099236,0.5467985667549462,0.0473503289345171,0.8156771143991727,0.2981770017499044,21,16,246,224,0.0729783037475345,0.4832347140039448,0.6035714285714285,507,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.12,ENS_TOP3_VAL
XGB_step50_3,test_selective,0.5,0.5261813537675607,0.5251223331376003,0.3433628318584071,0.4863667306145182,0.5542857142857143,0.2487179487179487,0.5180921052631579,0.8015267175572519,0.5491355124942912,0.0603042236411329,0.8185440455702809,0.2948338342765516,97,78,315,293,0.2234993614303959,0.4980842911877394,0.9321428571428572,783,weight_decay,XGB,step_50pct_3x,all,27.0,selective_fixed_0.5,0.02,XGB_step50_3
